Dato,date_key,order_1,order_2,order_3,order_4,order_5,Tall1,Tall2,Tall3,Tall4,Tall5,Stjerne1,Stjerne2,source_1,source_2,source_3,source_4,source_5,n_inferred
2012-03-23,20120323,37,46,21,5,8,5,8,21,37,46,6,8,detektert,detektert,detektert,detektert,detektert,0
2012-03-30,20120330,12,7,5,19,26,5,7,12,19,26,1,5,detektert,detektert,detektert,inferert,inferert,2
2012-04-06,20120406,34,36,8,38,7,7,8,34,36,38,4,5,detektert,detektert,detektert,detektert,detektert,0
2012-04-13,20120413,27,11,5,32,12,5,11,12,27,32,1,3,detektert,detektert,detektert,detektert,detektert,0
2012-04-20,20120420,10,41,45,16,30,10,16,30,41,45,2,8,detektert,detektert,detektert,detektert,detektert,0
2012-04-27,20120427,13,45,19,40,10,10,13,19,40,45,3,5,detektert,detektert,detektert,detektert,detektert,0
2012-05-04,20120504,30,35,29,41,45,29,30,35,41,45,3,5,detektert,detektert,detektert,inferert,inferert,2
2012-05-11,20120511,47,39,15,21,38,15,21,38,39,47,1,5,detektert,detektert,detektert,detektert,detektert,0
2012-05-18,20120518,12,44,18,46,43,12,18,43,44,46,4,5,detektert,detektert,detektert,detektert,detektert,0
2012-05-25,20120525,26,41,11,32,4,4,11,26,32,41,5,7,detektert,detektert,detektert,detektert,detektert,0
2012-06-01,20120601,37,28,34,11,38,11,28,34,37,38,3,7,detektert,detektert,detektert,detektert,inferert,1
2012-06-08,20120608,16,15,36,10,44,10,15,16,36,44,7,8,detektert,detektert,detektert,detektert,detektert,0
2012-06-15,20120615,6,10,17,18,42,6,10,17,18,42,1,3,detektert,detektert,detektert,inferert,inferert,2
2012-06-22,20120622,47,49,16,14,13,13,14,16,47,49,1,7,detektert,detektert,detektert,detektert,inferert,1
2012-07-06,20120706,22,33,38,10,24,10,22,24,33,38,2,6,detektert,detektert,detektert,detektert,detektert,0
2012-07-13,20120713,8,27,12,31,37,8,12,27,31,37,3,6,detektert,detektert,detektert,inferert,inferert,2
2012-07-20,20120720,6,9,13,14,25,6,9,13,14,25,1,8,detektert,detektert,detektert,inferert,inferert,2
2012-07-27,20120727,22,23,9,34,35,9,22,23,34,35,1,3,detektert,detektert,detektert,detektert,inferert,1
2012-08-03,20120803,15,18,12,24,25,12,15,18,24,25,4,5,detektert,detektert,detektert,inferert,inferert,2
2012-08-10,20120810,46,48,40,6,11,6,11,40,46,48,3,6,detektert,detektert,detektert,inferert,inferert,2
2012-08-17,20120817,16,30,3,34,35,3,16,30,34,35,2,5,detektert,detektert,detektert,inferert,inferert,2
2012-08-24,20120824,20,9,21,33,49,9,20,21,33,49,5,7,detektert,detektert,detektert,inferert,inferert,2
2012-08-31,20120831,8,22,28,40,42,8,22,28,40,42,4,8,detektert,detektert,detektert,inferert,inferert,2
2012-09-07,20120907,23,25,46,49,15,15,23,25,46,49,2,4,detektert,detektert,detektert,detektert,detektert,0
2012-09-14,20120914,15,14,24,10,47,10,14,15,24,47,4,8,detektert,detektert,detektert,detektert,inferert,1
2012-09-21,20120921,41,29,44,18,49,18,29,41,44,49,1,5,detektert,detektert,detektert,detektert,inferert,1
2012-09-28,20120928,14,16,5,34,39,5,14,16,34,39,1,6,detektert,detektert,detektert,detektert,inferert,1
2012-10-05,20121005,26,50,49,28,40,26,28,40,49,50,2,7,detektert,detektert,detektert,detektert,detektert,0
2012-10-12,20121012,49,6,17,43,11,6,11,17,43,49,4,8,detektert,detektert,detektert,detektert,inferert,1
2012-10-19,20121019,6,48,14,19,18,6,14,18,19,48,3,8,detektert,detektert,detektert,detektert,detektert,0
2012-10-26,20121026,7,17,18,19,22,7,17,18,19,22,4,5,detektert,detektert,detektert,inferert,inferert,2
2012-11-02,20121102,3,12,5,7,31,3,5,7,12,31,5,7,detektert,detektert,detektert,detektert,inferert,1
2012-11-16,20121116,4,1,7,21,26,1,4,7,21,26,4,7,detektert,detektert,detektert,detektert,inferert,1
2012-11-23,20121123,21,1,32,36,50,1,21,32,36,50,2,5,detektert,detektert,inferert,inferert,inferert,3
2012-11-30,20121130,21,2,24,13,37,2,13,21,24,37,6,7,detektert,detektert,detektert,detektert,detektert,0
2012-12-07,20121207,22,13,20,27,42,13,20,22,27,42,3,5,detektert,detektert,detektert,detektert,inferert,1
2012-12-14,20121214,35,17,31,28,39,17,28,31,35,39,5,8,detektert,detektert,detektert,detektert,detektert,0
2012-12-21,20121221,24,25,20,35,11,11,20,24,25,35,4,8,detektert,detektert,detektert,detektert,detektert,0
2012-12-28,20121228,22,32,8,5,39,5,8,22,32,39,7,8,detektert,detektert,detektert,detektert,inferert,1
2013-01-04,20130104,6,40,20,45,29,6,20,29,40,45,5,8,detektert,detektert,detektert,detektert,detektert,0
2013-01-11,20130111,6,31,37,41,49,6,31,37,41,49,2,3,detektert,detektert,detektert,detektert,inferert,1
2013-01-18,20130118,45,13,9,21,28,9,13,21,28,45,6,7,detektert,detektert,detektert,detektert,detektert,0
2013-01-25,20130125,13,37,28,4,38,4,13,28,37,38,7,8,detektert,detektert,detektert,detektert,detektert,0
2013-02-01,20130201,26,4,14,2,29,2,4,14,26,29,6,7,detektert,detektert,detektert,detektert,inferert,1
2013-02-08,20130208,27,17,14,43,12,12,14,17,27,43,1,7,detektert,detektert,detektert,detektert,detektert,0
2013-02-15,20130215,26,9,32,40,4,4,9,26,32,40,3,5,detektert,detektert,detektert,detektert,detektert,0
2013-02-22,20130222,3,13,46,41,49,3,13,41,46,49,3,8,detektert,detektert,detektert,detektert,detektert,0
2013-03-01,20130301,19,34,44,28,29,19,28,29,34,44,1,5,detektert,detektert,detektert,detektert,detektert,0
2013-03-08,20130308,12,14,30,10,43,10,12,14,30,43,2,5,detektert,detektert,detektert,detektert,inferert,1
2013-03-22,20130322,5,12,21,43,48,5,12,21,43,48,5,6,detektert,detektert,inferert,inferert,inferert,3
2013-03-29,20130329,22,1,37,27,50,1,22,27,37,50,5,7,detektert,detektert,detektert,detektert,detektert,0
2013-04-05,20130405,22,31,38,41,37,22,31,37,38,41,2,6,detektert,detektert,detektert,detektert,detektert,0
2013-04-12,20130412,22,19,8,32,40,8,19,22,32,40,1,8,detektert,detektert,detektert,detektert,inferert,1
2013-04-19,20130419,18,17,22,24,25,17,18,22,24,25,1,6,detektert,detektert,detektert,detektert,inferert,1
2013-04-26,20130426,19,14,11,23,49,11,14,19,23,49,4,5,detektert,detektert,detektert,inferert,inferert,2
2013-05-03,20130503,28,44,14,48,16,14,16,28,44,48,3,7,detektert,detektert,detektert,detektert,inferert,1
2013-05-17,20130517,6,4,32,10,13,4,6,10,13,32,1,8,detektert,detektert,detektert,detektert,inferert,1
